brand,model,model_year,mileage_mi,engine,transmission,drivetrain,fuel_type_clean,mpg,exterior_color,interior_color,accidents_or_damage,one_owner,personal_use_only,seller_name,seller_rating,driver_rating,driver_reviews_num,price_drop_usd,price_usd,data_source
Audi,RS e-tron GT Base,2022,1502,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Suzuka Gray Metallic,Black / Express Red,0,1,1,Elliott Bay Auto Brokers,4.7,,0,6000,132880,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,11020,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Daytona Gray Pearl Effect,Arras Red,0,1,1,Audi South Atlanta,3.8,,0,10000,119985,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,6741,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black / Express Red,0,1,0,Audi Norwell,3.3,,0,3020,116980,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,7822,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Ascari Blue Metallic,Black,0,1,1,Audi Tysons Corner,4.9,,0,905,118820,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,2319,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black / Express Red,0,1,1,Alpha One Motors,,,0,,137888,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,10934,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black / Express Red,0,1,1,Ourisman Volvo Audi of Frederick,3.7,,0,10639,114000,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,3334,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Ascari Blue Metallic,Black / Express Red,0,1,0,Audi Fletcher Jones,4.9,,0,6002,132894,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,1036,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Ibis White,Black / Express Red,0,1,1,Jaguar Land Rover Seattle,4.6,,0,5450,149900,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,16201,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black / Express Red,0,1,1,Baron BMW MINI,4.5,,0,1559,120418,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,2268,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Suzuka Gray Metallic,Black / Express Red,0,1,0,West Coast Exotic Cars,,,0,2000,144990,cars_com_used_cars_762k
