feature,importance
cat__drivetrain_All-wheel Drive,0.31134795917911534
cat__brand_Porsche,0.2025663175841755
num__model_year,0.09797475106214165
num__mileage_mi,0.07826715831257233
cat__brand_Mercedes-Benz,0.04310414596010499
cat__brand_GMC,0.021672836838142123
cat__model_Model S Plaid,0.020252028020943332
cat__model_Model X Plaid,0.01742834326513189
cat__drivetrain_Four-wheel Drive,0.01672634747632653
cat__model_HUMMER EV Edition 1,0.01613708245084216
cat__brand_Tesla,0.01488122676957863
cat__model_Taycan 4S,0.0142481096384781
cat__drivetrain_Front-wheel Drive,0.01041766439900442
cat__brand_BMW,0.00945959605297205
cat__model_Model 3 Long Range,0.008643776061739506
cat__model_F-150 Lightning LARIAT,0.008388434454673466
cat__model_F-150 Lightning Platinum,0.008112260231661962
cat__model_Model X Base,0.008084874966808733
cat__model_RS e-tron GT Base,0.007668224509458843
cat__model_EQS 580 Base 4MATIC,0.006377596576222254
cat__transmission_2-Speed Automatic,0.005856213966638992
cat__model_Model X Long Range,0.005694520820946303
cat__model_Taycan Cross Turismo 4,0.0037773895657762374
cat__model_Model X Performance,0.00298446236478018
cat__model_EQB 300 Base 4MATIC,0.002877964880532303
cat__model_EQB 350 Base 4MATIC,0.0024536653942625096
cat__model_Model S Base,0.0024159633773506253
cat__model_Mustang Mach-E Select,0.002312530834983617
cat__model_Model X,0.002235837161424006
cat__brand_Ford,0.002017366535923687
cat__model_Model S Plaid Tri Motor All-Wheel Drive,0.0017514505807761642
cat__model_Model X Long Range Plus,0.0016854151402856431
cat__model_Model S Long Range,0.0016541558013619755
cat__brand_Nissan,0.0016301904549700012
cat__model_Model S Performance,0.001526920927669521
cat__model_i7 xDrive60,0.0015052059523821366
cat__model_Model X Dual Motor All-Wheel Drive,0.0014880650119789788
cat__model_Taycan Cross Turismo Turbo S,0.0014254741097862007
cat__model_AMG EQS Base,0.0014214310836017353
cat__drivetrain_AWD,0.0013390555586261772
cat__brand_Audi,0.0012968770121934159
cat__brand_Cadillac,0.0012675690291463486
cat__model_Model X P100D,0.0012190209559596458
cat__model_Model 3 Performance,0.0010860414739843323
cat__transmission_1-Speed Automatic,0.001022138909738604
num__accidents_or_damage,0.000938226643250674
cat__model_Model X 100D,0.0009184594611075464
cat__model_EQS 450 Base 4MATIC,0.0008870604047933952
cat__model_Taycan Turbo S,0.0008167072950611587
cat__model_Mustang Mach-E GT,0.0008113649214243931
num__personal_use_only,0.0007333332017385381
num__one_owner,0.0007226726431230441
cat__brand_Volkswagen,0.0007121985888787539
cat__model_Taycan Turbo,0.0006403667303307996
cat__brand_Toyota,0.0006291161895771083
cat__model_Model S 75D,0.0006119389889227685
cat__model_Mustang Mach-E Premium,0.0006101841124784105
cat__model_e-tron S Prestige,0.000591657514554455
cat__transmission_Automatic,0.0005661358123826476
cat__model_i4 Gran Coupe M50,0.0005588778851040347
cat__model_Taycan Cross Turismo Turbo,0.0005398416295793637
cat__model_Model S P100D,0.0005110132721936918
cat__model_iX xDrive50,0.00042940721760838176
cat__brand_Chevrolet,0.0004034922887138461
cat__brand_Kia,0.000402616346503213
cat__model_Taycan GTS,0.00038880282971801185
cat__model_Model X Plaid Tri Motor All-Wheel Drive,0.0003876702399230435
cat__model_Model Y Long Range,0.0003858877365212977
cat__model_Taycan Cross Turismo 4S,0.00038446025571119244
cat__model_Model X Performance Dual Motor All-Wheel Drive,0.00035809558320632303
cat__model_EQB 250 Base,0.0003512454859171943
cat__model_Model Y Performance,0.00034977491670683584
cat__model_Model S 70D,0.0003433606802213435
cat__model_Mirai XLE,0.0003425017450833087
cat__model_EQE 350 Base 4MATIC,0.0002640042980372029
cat__model_EV6 Wind,0.0002518793721041351
cat__model_EQS 580 4MATIC,0.00024272364303544287
cat__model_Model S 90D,0.00023824399560992194
cat__model_Leaf S,0.00023703946988954763
cat__model_F-150 Lightning XLT,0.00023587850769279023
cat__model_Kona EV Ultimate,0.00020619232315211228
cat__model_ARIYA ENGAGE,0.00020569503809829282
cat__drivetrain_Rear-wheel Drive,0.00018765069455907012
cat__model_Leaf SL PLUS,0.00018436854738878566
cat__model_Taycan 4,0.0001807252856409377
cat__model_Leaf SV PLUS,0.00016990548551480453
cat__transmission_A/T,0.0001688915037837483
cat__model_Model Y Standard Range,0.00016037324872000271
cat__model_Model X P90D,0.00015704592462887165
cat__model_iX M60,0.00014835871336385265
cat__brand_Volvo,0.00013104005166245377
cat__model_LYRIQ Luxury,0.00012839511294014585
cat__model_Leaf SV,0.00012557341647747653
cat__model_Model S 85D,0.0001234511027346939
cat__model_Bolt EV Premier,0.00012100765746441332
cat__model_Model X 75D,0.00011100181837771624
cat__brand_Jaguar,0.0001104136639450527
cat__model_F-150 Lightning,0.00010356366139778376
cat__model_F-150 Lightning Pro,0.00010240087931310429
cat__model_Mustang Mach-E California Route 1,0.00010238840439839846
